Gene,nASD,rASD,min_lFDR,TADA p-value,Netscore,Annotation
RNF146,no,no,NA,0.582,12.50373463,0
CEP290,no,no,NA,0.702797939,0,0
SLC39A8,no,no,NA,0.655,1.189337588,0
AGER,no,no,NA,0.532,0,0
ADIPOR1,no,no,NA,0.47,24.67254419,0
MAPK8,no,no,NA,0.58,20.7869409,0
EIF1,no,no,NA,0.336,8.213459336,0
HM13,no,no,NA,0.309,4.127028555,0
MSL2,no,no,NA,0.3,12.71985087,0
PRPSAP1,no,no,NA,0.566,9.974986076,0
SH3YL1,no,no,NA,0.774,9.045014523,0
WDR25,no,no,NA,0.45,0,0
CHD8,no,no,NA,5.00E-07,5.886881491,2
MCTP1,no,no,NA,0.658,13.76358274,0
ATPAF2,no,no,NA,0.939,0,0
SLITRK2,no,no,NA,0.929,2.596955451,0
RNF19B,no,no,NA,0.639,11.79314004,0
GLT8D2,no,no,NA,0.809,14.32401729,0
ZMYND10,no,no,NA,0.146,1.056477128,0
CTNNBL1,no,no,NA,0.183,8.921138102,0
EPB41L4A,no,no,NA,0.561,5.910001009,0
APBB1,no,no,NA,0.602,3.305188927,0
H1F0,no,no,NA,0.404,5.944802501,0
RNF182,no,no,NA,0.427,3.424500983,0
GRID2,no,no,NA,0.479,1.005323725,0
C14orf21,no,no,NA,0.35,0,0
IL7,no,no,NA,0.571,3.914239506,0
PRKAB2,no,no,NA,0.779,8.711019224,0
UBE2C,no,no,NA,0.243,0,0
UPF2,no,no,NA,0.713,7.424935974,0
LPPR4,no,no,NA,0.399,6.278388412,0
FAM158A,no,no,NA,0.0132,3.383469003,0
PTPLA,no,no,NA,0.534,0,0
SCML2,no,no,NA,0.09,1.340755034,0
PHACTR3,no,no,NA,0.525,0.99356527,0
SH3RF1,no,no,NA,0.536,22.74615685,0
COX4I1,no,no,NA,0.378,0,0
RSPO2,no,no,NA,0.415,1.144375768,0
ANO4,no,no,NA,0.829,1.995841092,0
VGF,no,no,NA,0.142,0,0
TGFB2,no,no,NA,0.617,2.04021655,0
COG1,no,no,NA,0.182416972,8.327137296,0
PNPLA6,no,no,NA,0.738,2.235355449,0
TTC39B,no,no,NA,0.934,3.632618802,0
UBL5,no,no,NA,0.32,0,0
SPHK1,no,no,NA,0.691,1.795007467,0
ABI3BP,no,no,NA,0.909,5.493654366,0
ZDHHC23,no,no,NA,0.622,0,0
SLC26A11,no,no,NA,0.326,6.318915019,0
PIK3CG,no,no,NA,0.674,5.019646843,0
RFX2,no,no,NA,0.689,0,0
ADAMTS8,no,no,NA,0.756,6.130628419,0
PTGR2,no,no,NA,0.288,0,0
ARNT2,no,no,NA,0.643,1.829785868,0
SGPP2,no,no,NA,0.408,0,0
KIAA1217,no,no,NA,0.265919827,1.312073889,0
ZBTB16,no,no,NA,0.0618,5.030790966,0
FBXL2,no,no,NA,0.0785,4.695317972,0
COQ2,no,no,NA,0.667,0,0
BMP2,no,no,NA,0.392,0,0
ZSCAN2,no,no,NA,0.435,0,0
NRXN2,no,no,NA,0.359,10.36743341,0
ZNF646,no,no,NA,0.195,0,0
KCNC2,no,no,NA,0.352,1.231267114,0
SH3BP4,no,no,NA,0.847,0,0
SLITRK3,no,no,NA,0.405,6.479948382,0
ABCA1,no,no,NA,0.327,19.30341811,0
LOXL3,no,no,NA,0.631,1.03193378,0
FOSL2,no,no,NA,0.314,10.42068385,0
CCDC15,no,no,NA,0.568,0,0
ZNF192,no,no,NA,0.0541,3.715592564,0
CCK,no,no,NA,0.239,12.55097943,0
HAPLN1,no,no,NA,0.634,0.934722281,0
SCN8A,no,no,NA,0.463,4.357651963,0
SLC6A12,no,no,NA,0.696,11.17731776,0
USP31,no,no,NA,0.232,16.56214119,0
UPP2,no,no,NA,0.145,0,0
VOPP1,no,no,NA,0.126,0,0
OGFOD1,no,no,NA,0.261,2.040657388,0
TMEM109,no,no,NA,0.117,0,0
HEXIM1,no,no,NA,0.337,5.432645007,0
TMEM179B,no,no,NA,0.066,3.554245343,0
CXXC1,no,no,NA,0.638,3.966798044,0
LPGAT1,no,no,NA,0.591,28.48066467,0
STOM,no,no,NA,0.0618,1.539837371,0
ZNF777,no,no,NA,0.656,0,0
IP6K1,no,no,NA,0.725,0,0
C12orf42,no,no,NA,0.785,1.218324593,0
SON,no,no,NA,0.539,0,0
SLAIN1,no,no,NA,0.512,4.163993239,0
WBP11,no,no,NA,0.528,4.962156456,0
ATP5G1,no,no,NA,0.579,0,0
SH2D3C,no,no,NA,0.758,13.24512819,0
SF3B2,no,no,NA,0.74,0,0
SMCR7L,no,no,NA,0.476,17.45294305,0
CAP2,no,no,NA,0.795,1.228449336,0
EMD,no,no,NA,0.601,1.097969655,0
GRWD1,no,no,NA,0.399,5.184794329,0
MRPS2,no,no,NA,0.394,0,0
MAEA,no,no,NA,0.515,1.326371889,0
SARS,no,no,NA,0.0612,5.678808696,0
UGP2,no,no,NA,0.512,0,0
ARF6,no,no,NA,0.325,9.836325189,0
GNG4,no,no,NA,0.244,3.96210073,0
MDH1B,no,no,NA,0.799,4.43789709,0
FBXL20,no,no,NA,0.145,0,0
EPS15,no,no,NA,0.759,14.44228298,0
HMGN3,no,no,NA,0.321,11.0494001,0
NUDT16L1,no,no,NA,0.59,0.92263874,0
MAGOH,no,no,NA,0.347,23.90231349,0
PCBP1,no,no,NA,0.307,5.626187169,0
NAPA,no,no,NA,0.403,5.989686787,0
ARRB2,no,no,NA,0.229,1.098360981,0
MED11,no,no,NA,0.589,0,0
NT5C3L,no,no,NA,0.221,0,0
CCDC94,no,no,NA,0.422,1.867866472,0
HBEGF,no,no,NA,0.313,11.5646795,0
FAM134C,no,no,NA,0.456,0.958055648,0
AKT1S1,no,no,NA,0.277,0,0
FGF17,no,no,NA,0.315,0,0
ETV1,no,no,NA,0.428,0,0
C7orf26,no,no,NA,0.358,6.378181109,0
DNM2,no,no,NA,0.207,8.125494658,0
RFX7,no,no,NA,0.414,14.32318834,0
C6orf165,no,no,NA,0.734,4.020648639,0
SLC35A4,no,no,NA,0.749,5.935281817,0
MED14,no,no,NA,0.64,2.129392263,0
CKAP5,no,no,NA,0.159,14.24048202,0
SGTA,no,no,NA,0.323,21.09538387,0
RPP38,no,no,NA,0.771,5.479543567,0
ARFGAP2,no,no,NA,0.591,4.139335183,0
PIGL,no,no,NA,0.735,0,0
PTPN11,no,no,NA,0.0105,4.816664897,0
ANKRD55,no,no,NA,0.00532,3.839420586,0
AP1B1,no,no,NA,0.296,0,0
POMP,no,no,NA,0.147,2.380266885,0
CCDC64,no,no,NA,0.626,0,0
PURG,no,no,NA,0.371,0,0
ZNF414,no,no,NA,0.637,5.053399523,0
DNMT1,no,no,NA,0.601,2.183726636,0
RNF11,no,no,NA,0.313,1.897882105,0
PRCC,no,no,NA,0.389,3.280016041,0
CLN6,no,no,NA,0.243,4.309525357,0
C20orf196,no,no,NA,0.0557,1.591931931,0
UPF1,no,no,NA,0.402,19.02282727,0
ZNF653,no,no,NA,0.769,3.864075341,0
ALDH6A1,no,no,NA,0.111,5.18548976,0
MCM4,no,no,NA,0.36,1.831883752,0
WDSUB1,no,no,NA,0.166,3.778368583,0
MYBBP1A,no,no,NA,0.975351644,5.376435439,0
PELP1,no,no,NA,0.57,1.835048361,0
NAPRT1,no,no,NA,0.0015,5.088062913,1
KYNU,no,no,NA,0.89,0.97838706,0
IL20RB,no,no,NA,0.802,4.82402496,0
DHX16,no,no,NA,0.905,1.207308089,0
PSAP,no,no,NA,0.574,0.867227909,0
POP4,no,no,NA,0.288,3.588864787,0
ZNF281,no,no,NA,0.518,10.77049742,0
NKAIN4,no,no,NA,0.00732,4.71517381,0
LSMD1,no,no,NA,0.912,4.326331006,0
PHC3,no,no,NA,0.155,2.184596014,0
RASSF9,no,no,NA,0.75,0,0
ATF1,no,no,NA,0.288,2.198286948,0
UBE2J2,no,no,NA,0.132,3.520750556,0
ADAMTS7,no,no,NA,0.143,47.9486402,0
UPP1,no,no,NA,0.481,3.26322721,0
MPZL1,no,no,NA,0.338,15.31426855,0
LIG4,no,no,NA,0.865,19.39356496,0
ERGIC1,no,no,NA,0.234,5.968490085,0
MTCH1,no,no,NA,0.338,8.378260321,0
NKIRAS2,no,no,NA,0.443,4.802915314,0
POLR3A,no,no,NA,0.93,8.982336776,0
TMCO3,no,no,NA,0.857,0,0
PSMD8,no,no,NA,0.15,1.083830414,0
SF3B5,no,no,NA,0.357,7.90291225,0
MYL6B,no,no,NA,0.246,2.635226201,0
EIF4A3,no,no,NA,0.314,4.405149903,0
SHKBP1,no,no,NA,0.903,0,0
SOAT1,no,no,NA,0.471,23.79065721,0
DDX50,no,no,NA,0.589,0,0
AP3S2,no,no,NA,0.255,0,0
SUPV3L1,no,no,NA,0.776,0,0
MRPS18A,no,no,NA,0.728,13.505166,0
C1orf144,no,no,NA,0.144,25.53051332,0
RFC2,no,no,NA,0.761,1.147474462,0
EZR,no,no,NA,0.814,23.97654726,0
SLC19A3,no,no,NA,0.471,12.04247259,0
BLMH,no,no,NA,0.132,0,0
PRDX4,no,no,NA,0.244,8.969376621,0
NIP7,no,no,NA,0.733,6.212900648,0
DLG1,no,no,NA,0.0659,2.893703143,0
C15orf24,no,no,NA,0.396,1.019953624,0
NME4,no,no,NA,0.485,7.697600203,0
POLR1C,no,no,NA,0.615,0,0
NUDT5,no,no,NA,0.54,9.515992761,0
SDHB,no,no,NA,0.753,4.042409915,0
MRPL9,no,no,NA,0.412,2.162705157,0
RNF114,no,no,NA,0.104,2.483248258,0
DCUN1D5,no,no,NA,0.311,0,0
POLD3,no,no,NA,0.718,4.595164297,0
B4GALNT3,no,no,NA,0.723,8.574593068,0
LRTOMT,no,no,NA,0.256,0,0
UBAC1,no,no,NA,0.452,0,0
CCT5,no,no,NA,0.294,4.504382094,0
ERCC1,no,no,NA,0.909,6.012117195,0
THOC6,no,no,NA,0.0724,1.458147105,0
C3orf38,no,no,NA,0.553,3.084007441,0
PRLR,no,no,NA,0.561,3.441972701,0
HMG20B,no,no,NA,0.142,4.233298244,0
PSMB6,no,no,NA,0.766,5.821759811,0
NDUFA2,no,no,NA,0.336,21.69882502,0
ZNF211,no,no,NA,0.801,4.302715099,0
JKAMP,no,no,NA,0.335,8.154511841,0
PPP2R2B,no,no,NA,0.378,1.138682201,0
BUD31,no,no,NA,0.134,9.455068134,0
C19orf48,no,no,NA,0.298,3.615562902,0
EFNB1,no,no,NA,0.38,14.96170683,0
CXXC5,no,no,NA,0.549,1.555483303,0
TOMM7,no,no,NA,0.314,3.585761328,0
POP7,no,no,NA,0.31,4.003367099,0
IDH3B,no,no,NA,0.544,6.228984065,0
NDE1,no,no,NA,0.194,10.77461026,0
CHST14,no,no,NA,0.792,7.851032294,0
ALDH9A1,no,no,NA,0.88,0,0
IFT81,no,no,NA,0.873,2.846880583,0
CNIH4,no,no,NA,0.654,0.878562964,0
MRPS34,no,no,NA,0.405,7.812132459,0
ATP5G2,no,no,NA,0.808,0,0
SEC13,no,no,NA,0.85,2.18069518,0
PCNA,no,no,NA,0.573,25.7309406,0
VIM,no,no,NA,0.711,7.809604031,0
CALR,no,no,NA,0.767,0,0
NEIL1,no,no,NA,0.493,0,0
GLS2,no,no,NA,0.301,2.304827807,0
COIL,no,no,NA,0.713,0,0
DAP3,no,no,NA,0.424,3.785217736,0
WAC,no,no,NA,0.627,0,0
FAM96A,no,no,NA,0.122,9.328849146,0
NXN,no,no,NA,0.641,34.64153585,0
QSER1,no,no,NA,0.576,13.45423808,0
NDUFA6,no,no,NA,0.526,4.783137213,0
BOD1,no,no,NA,0.327,11.5172898,0
TBCEL,no,no,NA,0.843,7.319024588,0
DUSP12,no,no,NA,0.807,1.130593181,0
CNN3,no,no,NA,0.529,6.582067748,0
SAMD3,no,no,NA,0.901,3.748996503,0
PRDM11,no,no,NA,0.39,0,0
TP53,no,no,NA,0.39,9.602889943,0
GADD45A,no,no,NA,0.6,5.796613384,0
C6orf125,no,no,NA,0.593,8.395628219,0
MRPL21,no,no,NA,0.61,3.345914267,0
HHIPL1,no,no,NA,0.674,2.631415597,0
ELAC2,no,no,NA,0.374,0,0
MRPL51,no,no,NA,0.2,4.568659482,0
BLOC1S1,no,no,NA,0.543,0.880468877,0
SYNGAP1,no,no,NA,5.00E-07,4.891638476,1
TIMM50,no,no,NA,0.387,11.65678725,0
C3orf62,no,no,NA,0.937,13.22292733,0
PLD3,no,no,NA,0.124,2.27776826,0
SLC25A29,no,no,NA,0.564,0,0
HSPA5,no,no,NA,0.0828,6.196015238,0
DOLPP1,no,no,NA,0.376,1.072637321,0
TMEM110,no,no,NA,0.347,14.97518632,0
NDRG2,no,no,NA,0.656,5.58643898,0
TAF1C,no,no,NA,0.224,3.691285004,0
WWP2,no,no,NA,0.321,5.334018994,0
FSIP2,no,no,NA,0.536,0,0
TCEB3,no,no,NA,0.835,8.437829703,0
RAD51C,no,no,NA,0.597,2.275120876,0
PPP2R1A,no,no,NA,0.146,8.544804279,0
TRMU,no,no,NA,0.961,18.30368917,0
SSNA1,no,no,NA,0.228,10.11789302,0
RIC8A,no,no,NA,0.487,11.22999132,0
ERCC2,no,no,NA,0.0283,7.169899067,0
CENPT,no,no,NA,0.371,22.51271111,0
NCLN,no,no,NA,0.378,0,0
PTMS,no,no,NA,0.325,6.290808849,0
ADCY6,no,no,NA,0.812,22.05769047,0
EDEM1,no,no,NA,0.909,3.99844535,0
MAP7D1,no,no,NA,0.721,14.67100989,0
CCDC56,no,no,NA,0.583,0.918596403,0
TTC31,no,no,NA,0.459,20.04652677,0
AASDH,no,no,NA,0.455,1.556774575,0
ILK,no,no,NA,0.0567,8.046764325,0
SOST,no,no,NA,0.244,0,0
GAS8,no,no,NA,0.189,3.103821205,0
MRPL4,no,no,NA,0.691,1.356848753,0
ALX4,no,no,NA,0.168,0,0
USP30,no,no,NA,0.44,0,0
GAMT,no,no,NA,0.93,3.908961341,0
HPS6,no,no,NA,0.756,0,0
TIMM13,no,no,NA,0.0559,1.590154428,0
RAD23A,no,no,NA,0.64,1.858355807,0
RNPS1,no,no,NA,0.605,47.00134803,0
MCM6,no,no,NA,0.662,0,0
SLC43A1,no,no,NA,0.014,2.197286377,0
ERH,no,no,NA,0.328,9.410355948,0
OAZ2,no,no,NA,0.108,10.87045897,0
MRPL16,no,no,NA,0.289,2.640341792,0
PDS5B,no,no,NA,0.777,20.88283667,0
TSPYL4,no,no,NA,0.00819,73.61114072,0
C10orf96,no,no,NA,0.68,9.127297786,0
IKBKB,no,no,NA,0.665,2.384532312,0
DNAL4,no,no,NA,0.145,4.344096955,0
OSGIN2,no,no,NA,0.902,37.62510234,0
TRAPPC4,no,no,NA,0.178,4.7443797,0
SERINC1,no,no,NA,0.714,3.229011958,0
TUBA8,no,no,NA,0.22,0,0
EHD1,no,no,NA,0.449,9.352095837,0
CCDC136,no,no,NA,0.747,0,0
SLC41A3,no,no,NA,0.154,0,0
ATF6,no,no,NA,0.453,16.00648971,0
LAMA5,no,no,NA,0.445007585,0.98237483,0
SASS6,no,no,NA,0.359,1.812780419,0
PPP1CA,no,no,NA,0.128,13.15594862,0
ACVR2A,no,no,NA,0.616,26.67739819,0
TCTEX1D1,no,no,NA,0.311,0,0
SCN1A,no,no,NA,0.00879,4.285047276,0
CIB2,no,no,NA,0.407,13.27445875,0
DAZAP2,no,no,NA,0.142,9.554532202,0
CDC37L1,no,no,NA,0.175,12.12335289,0
FKBP8,no,no,NA,0.231,11.96478006,0
PALB2,no,no,NA,0.324,2.225721325,0
REPS1,no,no,NA,0.356,7.177705451,0
GDPD5,no,no,NA,0.775,2.36139532,0
RAD54L2,no,no,NA,0.801,14.03268139,0
BTBD7,no,no,NA,0.889,5.704536872,0
MMP15,no,no,NA,0.407,6.748984561,0
LIMK2,no,no,NA,0.218,0,0
EFNA5,no,no,NA,0.123,3.198750784,0
LRRC8A,no,no,NA,0.544,6.008614061,0
CLPTM1L,no,no,NA,0.193,1.990062878,0
GPR160,no,no,NA,0.444,0,0
SFMBT1,no,no,NA,0.844,7.941390161,0
SMARCA1,no,no,NA,0.772,2.974308031,0
AUTS2,no,no,NA,0.168,18.95872559,0
SLC7A6,no,no,NA,0.597,12.80271067,0
METTL3,no,no,NA,0.846,0,0
ZBTB17,no,no,NA,0.0034,2.706483312,0
NCL,no,no,NA,0.955,0,0
SSFA2,no,no,NA,0.229,4.118014806,0
DHX38,no,no,NA,0.563,6.064745504,0
KIAA1841,no,no,NA,0.943,0,0
KHDRBS2,no,no,NA,0.899,0,0
PCBP3,no,no,NA,0.662,2.737942904,0
PARD6G,no,no,NA,0.376,2.072684272,0
ZFP106,no,no,NA,0.273,16.27583746,0
PCGF2,no,no,NA,0.262,12.32925256,0
PSMC5,no,no,NA,0.121,0,0
SLC35F5,no,no,NA,0.852,2.580297556,0
GFOD2,no,no,NA,0.0284,3.487265965,0
MLLT4,no,no,NA,0.554,32.85787317,0
ZC3H13,no,no,NA,0.618,29.78655251,0
DNAJC7,no,no,NA,0.231,0.992132495,0
SCRG1,no,no,NA,0.41,3.372445764,0
ZFHX3,no,no,NA,0.899815082,1.855866303,0
TMEM87B,no,no,NA,0.421,2.038693084,0
TXNDC15,no,no,NA,0.636,0,0
ZDHHC21,no,no,NA,0.658,0,0
SBNO2,no,no,NA,0.326,2.064903122,0
CCPG1,no,no,NA,0.273,1.153350267,0
SPEF2,no,no,NA,0.465,1.049520707,0
WDR78,no,no,NA,0.415,1.686830291,0
NIPBL,no,no,NA,0.912,8.827832714,0
NME7,no,no,NA,0.433,1.023745658,0
FHDC1,no,no,NA,0.824,3.215920568,0
ZNF329,no,no,NA,0.428,2.253806491,0
ZNF333,no,no,NA,0.18,0,0
SNX19,no,no,NA,0.453,0,0
UGGT1,no,no,NA,0.861,5.838613586,0
WASF1,no,no,NA,0.662,8.221600746,0
LIMCH1,no,no,NA,0.0987,5.515086844,0
RP9,no,no,NA,0.624,0,0
EIF5B,no,no,NA,0.463,15.69118019,0
B3GAT1,no,no,NA,0.114,9.800603024,0
IL10RA,no,no,NA,0.547,15.84927734,0
PANK3,no,no,NA,0.00393,6.381536694,0
ZFP64,no,no,NA,0.868,1.096974295,0
TOP2B,no,no,NA,0.0151,5.205794293,0
NR4A3,no,no,NA,0.629,5.270885686,0
UBTD2,no,no,NA,0.236,9.957064195,0
GRK5,no,no,NA,0.306,5.644925602,0
CDV3,no,no,NA,0.532,12.01949982,0
SORL1,no,no,NA,0.421670699,0.916006614,0
ARL9,no,no,NA,0.373,1.134870065,0
ZNF254,no,no,NA,0.857,1.65807561,0
ZNF74,no,no,NA,0.749,2.101852396,0
C4orf37,no,no,NA,0.159,0,0
CPSF1,no,no,NA,0.195,20.3841478,0
CLIP4,no,no,NA,0.234,3.266677069,0
SLC4A8,no,no,NA,0.77,2.031207795,0
C20orf26,no,no,NA,0.766,2.999256582,0
CASKIN2,no,no,NA,0.336,17.30614509,0
TNNI3K,no,no,NA,0.584,2.110883215,0
CDYL,no,no,NA,0.766,0.895216753,0
PPM1M,no,no,NA,0.519,1.055718826,0
UTRN,no,no,NA,0.383386135,0,0
PLEKHM2,no,no,NA,0.759,1.280757045,0
NFAT5,no,no,NA,0.75,28.0901415,0
C14orf93,no,no,NA,0.465,0,0
SNX9,no,no,NA,0.153,11.43202177,0
SLC7A1,no,no,NA,0.287,14.64193918,0
PNN,no,no,NA,0.566,20.15022649,0
BAX,no,no,NA,0.0818,5.814354973,0
CGREF1,no,no,NA,0.758,3.702296647,0
MAN2B2,no,no,NA,0.272894127,2.022214637,0
IKZF2,no,no,NA,0.5,27.50552902,0
HTR2A,no,no,NA,0.131,41.3484475,0
TSPYL2,no,no,NA,0.408,20.8937634,0
EFNB3,no,no,NA,0.148,2.031287314,0
C17orf48,no,no,NA,0.523,0,0
NDEL1,no,no,NA,0.189,7.696623784,0
ZNF684,no,no,NA,0.886,3.627639801,0
RAD18,no,no,NA,0.207,1.109338199,0
ORAI2,no,no,NA,0.129,31.28010489,0
SEMA6D,no,no,NA,0.336,25.20862794,0
LIAS,no,no,NA,0.643,10.72318537,0
PCYOX1L,no,no,NA,0.535,5.467280621,0
HS3ST5,no,no,NA,0.592,3.227685227,0
ACBD6,no,no,NA,0.725,20.71720816,0
MAN1A1,no,no,NA,0.699,4.966737907,0
ZNF207,no,no,NA,0.552,1.34701982,0
DCAF6,no,no,NA,0.633,2.33476571,0
CTNND1,no,no,NA,0.35,0,0
PSME3,no,no,NA,0.353,24.72272776,0
ABHD14A,no,no,NA,0.445,21.61934129,0
TFDP1,no,no,NA,0.424,5.676499017,0
CDIPT,no,no,NA,0.575,21.6874398,0
LRPAP1,no,no,NA,0.867,22.5049371,0
PUM1,no,no,NA,0.526,28.00771405,0
SEPHS2,no,no,NA,0.577,12.14887693,0
GK5,no,no,NA,0.696,0,0
RAB14,no,no,NA,0.234,27.10340374,0
TRIM45,no,no,NA,0.694,0,0
YARS,no,no,NA,0.65,5.849265526,0
NSF,no,no,NA,0.332,13.96593287,0
CDK5,no,no,NA,0.127,15.44252395,0
PEX14,no,no,NA,0.2,14.63974436,0
TOM1,no,no,NA,0.402,0,0
HK1,no,no,NA,0.629,8.96857325,0
ZNF574,no,no,NA,0.0898,29.12031191,0
FLNB,no,no,NA,0.009568509,6.782515103,0
LRRC61,no,no,NA,0.283,3.292679483,0
LYG1,no,no,NA,0.908,1.959953394,0
PLA2G15,no,no,NA,0.499,17.3963222,0
TRUB2,no,no,NA,0.736,21.39275129,0
CLPTM1,no,no,NA,0.598,21.56462813,0
GDI1,no,no,NA,0.35,8.325046555,0
FAM177A1,no,no,NA,0.361,7.128776247,0
OLFM1,no,no,NA,0.523,3.548001175,0
ERI3,no,no,NA,0.39,6.939552958,0
GBA,no,no,NA,0.727,8.796879159,0
KIAA0232,no,no,NA,0.0814,1.395716114,1
IDH3G,no,no,NA,0.524,6.544595925,0
COPA,no,no,NA,0.335,13.74701338,0
KPNA3,no,no,NA,0.804,41.20931013,0
SMAP2,no,no,NA,0.356,8.491002789,0
ACRC,no,no,NA,0.433,0,0
HSPBP1,no,no,NA,0.734,1.322155163,0
C1QTNF4,no,no,NA,0.128,7.70092083,0
C3orf15,no,no,NA,0.604,0,0
WASL,no,no,NA,0.0534,11.69217429,0
CCDC6,no,no,NA,0.833,6.469106561,0
CORO1A,no,no,NA,0.16,19.91672351,0
C2CD2L,no,no,NA,0.43,20.35569522,0
RNF40,no,no,NA,0.797,7.52209574,0
HEXA,no,no,NA,0.662,0,0
BLOC1S2,no,no,NA,0.739,19.54044979,0
PTPN9,no,no,NA,0.73,18.168254,0
CNOT4,no,no,NA,0.174,11.93056427,0
UBE2L3,no,no,NA,0.297,10.67589899,0
EHD3,no,no,NA,0.81,14.7254918,0
OGDH,no,no,NA,0.757,5.595363455,0
ZNF681,no,no,NA,0.596,4.004420159,0
SNRNP48,no,no,NA,0.401,0.908931182,0
DENND4C,no,no,NA,0.0372,4.031180133,0
RTCD1,no,no,NA,0.629,19.72221357,0
ZNF654,no,no,NA,0.25,4.399298044,0
EIF4A2,no,no,NA,0.589,8.115468758,0
NRD1,no,no,NA,0.943,7.47367733,0
RGS7,no,no,NA,0.485,14.7099639,0
FAM98A,no,no,NA,0.501,3.222937379,0
ZNHIT1,no,no,NA,0.394,10.25901286,0
DCTN6,no,no,NA,0.881,7.801018342,0
GTF3A,no,no,NA,0.277,11.16489429,0
FBXO16,no,no,NA,0.88,0,0
OSBPL9,no,no,NA,0.249,0,0
CNOT10,no,no,NA,0.0568,4.994375922,0
CCBL2,no,no,NA,0.1083,2.315999641,0
ARF5,no,no,NA,0.318,4.733457255,0
CXorf57,no,no,NA,0.525,11.86929455,0
TMEM165,no,no,NA,0.333,1.051900559,0
DBT,no,no,NA,0.361,0.864567385,0
MMP11,no,no,NA,0.284,0,0
PDCD2L,no,no,NA,0.633,1.57072326,0
NFKBIL1,no,no,NA,0.0068,3.615640342,1
ETFB,no,no,NA,0.00155,4.323623101,1
BRF2,no,no,NA,0.134,1.435159484,1
PIK3CB,no,no,NA,0.738,0,0
PTGFR,no,no,NA,0.108,1.237234599,0
NDUFB1,no,no,NA,0.337,0,0
NLRC5,no,no,NA,0.783,0,0
CACYBP,no,no,NA,0.668,0,0
HEBP2,no,no,NA,0.371,0,0
ATG10,no,no,NA,0.883,0,0
KCNH1,no,no,NA,0.602,0,0
ZNF425,no,no,NA,0.306,0,0
RPL4,no,no,NA,0.144,0,0
DLK2,no,no,NA,0.172,0,0
C15orf38,no,no,NA,0.0497,1.647769403,0
LCN2,no,no,NA,0.46,0,0
ZDHHC11,no,no,NA,0.825,0,0
GPRC5D,no,no,NA,0.466,0,0
GSG1,no,no,NA,0.644,1.635380707,0
AFG3L2,no,no,NA,0.697,0,0
CBLN1,no,no,NA,0.239,0.981876029,0
CPN2,no,no,NA,0.0507,1.638104003,0
PPP1R14A,no,no,NA,0.264,1.522812832,0
TREML4,no,no,NA,0.578,0,0
FBXO25,no,no,NA,0.347,0,0
SAT1,no,no,NA,0.308,0,0
SAMD8,no,no,NA,0.229,0,0
MBTPS1,no,no,NA,0.884,0,0
TM2D3,no,no,NA,0.254,0,0
SYNJ2,no,no,NA,0.59228569,1.420457294,0
EYA2,no,no,NA,0.233,0,0
CEACAM4,no,no,NA,0.6,0,0
MID1IP1,no,no,NA,0.0789,1.412509485,0
NPDC1,no,no,NA,0.441,0.874758461,0
MYH14,no,no,NA,0.103,1.264641136,0
CHRD,no,no,NA,0.608,0,0
ALKBH8,no,no,NA,0.302,1.537993354,0
ZNF474,no,no,NA,0.74,0,0
ROPN1L,no,no,NA,0.759,0,0
FDFT1,no,no,NA,0.641,0,0
CD99L2,no,no,NA,0.738,0,0
CABLES1,no,no,NA,0.815,0,0
CYP2W1,no,no,NA,0.367,0,0
CDC25C,no,no,NA,0.4,0,0
PGM3,no,no,NA,0.166,0,0
RRM2B,no,no,NA,0.498,0,0
AK3,no,no,NA,0.622,1.020153305,0
YIPF7,no,no,NA,0.0299,1.882265325,0
CDC42SE2,no,no,NA,0.326,0,0
FSD1,no,no,NA,0.661,0,0
ZNF23,no,no,NA,0.0143,2.188956526,0
APAF1,no,no,NA,0.572,1.29969623,0
SECISBP2L,no,no,NA,0.634,0,0
CLEC4A,no,no,NA,0.259,0,0
LMLN,no,no,NA,0.562,1.115707112,0
LNX1,no,no,NA,0.448,0,0
TSR2,no,no,NA,0.00348,2.698752102,0
JAKMIP2,no,no,NA,0.0361,1.79785493,0
C20orf173,no,no,NA,0.82,0,0
KLK10,no,no,NA,0.288,0.909635967,0
VPS36,no,no,NA,0.614,0,0
LARS,no,no,NA,0.839,0,0
MRPS7,no,no,NA,0.433,0,0
ANGPTL4,no,no,NA,0.564,0,0
FGF10,no,no,NA,0.689,2.086482839,0
KRT8,no,no,NA,0.364,0,0
KRT71,no,no,NA,0.0488,1.656601841,0
ZNF28,no,no,NA,0.748,0,0
PIGP,no,no,NA,0.288,0,0
NAMPT,no,no,NA,0.66,0,0
CSK,no,no,NA,0.674,0.875503479,0
EFHC2,no,no,NA,0.212,0,0
GSTO2,no,no,NA,0.221,0,0
TNFRSF10D,no,no,NA,0.0777,1.420713728,0
C9orf170,no,no,NA,0.279,0,0
LY96,no,no,NA,0.453,1.188829526,0
SERPINC1,no,no,NA,0.337,0,0
RFC5,no,no,NA,0.0448,1.697511494,0
C2orf48,no,no,NA,0.326,0,0
TM4SF1,no,no,NA,0.469,0,0
LIN28B,no,no,NA,0.344,0,0
HTR3B,no,no,NA,0.847,0,0
KIAA1737,no,no,NA,0.757,0,0
DIS3L2,no,no,NA,0.227,0,0
VDAC3,no,no,NA,0.43,0,0
TCEAL7,no,no,NA,0.331,0,0
TNFRSF11A,no,no,NA,0.413,2.192544893,0
