Gene,nASD,rASD,min_lFDR,TADA p-value,Netscore,Annotation
UGT2B15,yes,no,0.20058061,0.105,38.17123828,0
TRPM3,yes,no,0.200711909,0.0546,11.93750881,0
POLR3E,yes,no,0.202237572,0.0672,19.36905158,0
ZNF483,yes,no,0.20230119,0.0547,7.324298021,0
SHOC2,yes,no,0.20256061,0.164,11.9332137,0
C4orf33,yes,no,0.203738115,0.0673,57.27366467,0
AMT,yes,no,0.203872186,0.0919,79.36935313,0
KIAA1199,yes,no,0.206655072,0.0644,18.49712714,0
TARS,yes,no,0.206728122,0.0681,25.40899459,0
C2orf69,yes,no,0.207995122,0.139,95.12561507,0
DLGAP5,yes,no,0.208655308,0.042598612,47.90708235,0
EIF3I,yes,no,0.209322925,0.109,71.24924216,0
WDR61,yes,no,0.210239168,0.0574,1.576980552,0
DRG1,yes,no,0.211945731,0.0649,28.19969185,0
PHB2,yes,no,0.212547277,0.145,149.8411327,0
TIMM8B,yes,no,0.214535155,0.0652,22.51402071,0
TOP2A,yes,no,0.215043193,0.0441,44.16381891,0
TATDN2,yes,no,0.215406341,0.0695,31.36096527,0
C9orf68,yes,no,0.216610786,0.12,53.55540159,0
DPF2,yes,no,0.21711546,0.138,41.03630251,0
FAIM2,yes,no,0.218170196,0.0596,30.04554036,0
NSD1,yes,no,0.218416871,0.0673,33.35028754,0
SMARCD1,yes,no,0.219713053,0.187,19.21193782,0
PRDX3,yes,no,0.221162054,0.0719,20.78371356,0
TSG101,yes,no,0.222290183,0.116,68.8897991,0
XIRP2,yes,no,0.222590585,0.072301808,52.6765256,0
ACOT13,yes,no,0.224013833,0.0908,60.42360488,0
EPHA5,yes,no,0.224239514,0.105,115.0428374,0
CMYA5,yes,no,0.224868277,0.069336317,38.42355524,0
GK2,yes,no,0.225422526,0.0727,26.27784905,0
RAP1A,yes,no,0.226172936,0.306,138.0050923,0
CORO1B,yes,no,0.227472733,0.082,80.87460783,0
GRAMD4,yes,no,0.227472895,0.117,24.91014693,0
TAX1BP1,yes,no,0.228259516,0.0915,85.81975615,0
SPOCK3,yes,no,0.229064227,0.0507,84.24883179,0
ZZZ3,yes,no,0.23004487,0.0715,43.55301748,0
MYLK,yes,no,0.230203248,0.0616,25.5059712,0
FABP6,yes,no,0.231083831,0.0757,45.76472547,0
TTYH1,yes,no,0.231320343,0.104,22.5233771,0
CACNA1H,yes,no,0.232498855,0.076,36.02470558,0
MOCS2,yes,no,0.233844143,0.312,137.0698942,0
EAPP,yes,no,0.23395389,0.0784,43.48521949,0
GMDS,yes,no,0.234545394,0.0617,28.68451482,0
SLC25A4,yes,no,0.235096872,0.313,130.3045189,0
TAPBP,yes,no,0.236345385,0.1129,27.68252925,0
USP3,yes,no,0.236846046,0.119,181.7904685,0
RIOK2,yes,no,0.236992872,0.111,93.46180962,0
GTF2A1,yes,no,0.237370778,0.138,104.1664862,0
LBH,yes,no,0.237590392,0.152,90.4172044,0
ZC3H6,yes,no,0.238307416,0.0807,55.68124877,0
C6orf115,yes,no,0.238827122,0.0735,36.29150845,0
C5orf24,yes,no,0.240062564,0.319,83.93661187,0
SULT1E1,yes,no,0.240147239,0.0583,30.14038391,0
RIMKLA,yes,no,0.240147968,0.0621,23.03244681,0
PLXDC2,yes,no,0.241208555,0.0825,157.6352197,0
CENPV,yes,no,0.241289238,0.125,68.36123309,0
VEZF1,yes,no,0.241519412,0.0623,8.998867691,0
FAM172A,yes,no,0.241712046,0.0542,36.8598804,0
RUVBL2,yes,no,0.242521846,0.0864,34.37478354,0
TARBP2,yes,no,0.242878753,0.0624,3.843289271,0
PPP1R12A,yes,no,0.243267526,0.1133,171.2447048,0
TBC1D23,yes,no,0.243747131,0.324,124.2187517,1
GFM2,yes,no,0.244076495,0.108,28.75874888,0
CORO1C,yes,no,0.24423427,0.0628,14.44776408,0
PLEKHA4,yes,no,0.246351524,0.0552,7.761598352,0
STOX1,yes,no,0.246937217,0.0831,27.4776541,0
SPARCL1,yes,no,0.24742888,0.119,59.20090102,0
AGAP2,yes,no,0.24788035,0.15,84.32670544,0
RNF138,yes,no,0.248358436,0.234,62.96119304,0
TIMP2,yes,no,0.249771775,0.243,55.84145645,0
CREB5,yes,no,0.25090365,0.0555,23.854815,0
NARG2,yes,no,0.251199805,0.0853,48.45082544,0
MLL3,yes,no,0.251199805,0.080160464,48.15643102,1
GIT1,yes,no,0.252446912,0.263,39.79694052,0
CBLL1,yes,no,0.252633234,0.0863,26.99867026,0
CAP1,yes,no,0.253695864,0.0813,38.81105297,0
KIF20B,yes,no,0.254054992,0.242,85.37743857,0
ARL6IP6,yes,no,0.255217764,0.131,36.24544442,0
GJA1,yes,no,0.255462107,0.0619,38.15812614,0
ADC,yes,no,0.256190836,0.0366,47.90875084,0
ATRNL1,yes,no,0.256878646,0.0874,10.4395883,0
TEC,yes,no,0.257432349,0.0828,36.43491699,0
SMARCA4,yes,no,0.258316835,0.0895,30.21427346,0
THBD,yes,no,0.25845805,0.0581,8.406249404,0
DPM1,yes,no,0.258667846,0.0831,9.426679607,0
OR9K2,yes,no,0.259388487,0.0702,5.652576283,0
WAPAL,yes,no,0.259919806,0.0847,31.18309191,0
C16orf87,yes,no,0.259958375,0.122,138.5930964,0
HIST1H3C,yes,no,0.260767437,0.133,43.30008626,0
YTHDF3,yes,no,0.261171884,0.151,101.6962566,0
TRRAP,yes,no,0.261202693,0.0911,21.81968791,0
CPSF3,yes,no,0.261444946,0.163,90.72764081,0
GTPBP4,yes,no,0.262421579,0.0859,4.533511368,0
